Data          Hora     Bar   Temp_atual       Temp_med         Temp_min        Temp_max        Press_atual     Press_med      Press_min       Press_max
                        2     25.38		25.45		25.38		28.83		934.34		934.63		931.31		938.51

2024-10-24   13:00:00   1     25.54		25.50		25.23		29.83		937.45		936.91		932.83		941.85
                        2     25.28		25.33		25.28		28.83		934.84		934.65		931.31		938.51

2024-10-24   14:00:00   1     25.44		25.40		25.18		29.83		938.03		937.16		932.83		941.85
                        2     25.21		25.23		25.19		28.83		935.90		934.91		931.31		938.51

2024-10-24   15:00:00   1     25.29		25.37		25.10		29.83		938.53		939.12		932.83		942.12
                        2     25.12		25.17		25.12		28.83		936.83		936.89		931.31		938.51

2024-10-24   16:00:00   1     25.20		25.21		24.98		29.83		938.38		938.68		932.83		942.12
                        2     25.02		25.07		25.02		28.83		936.45		936.54		931.31		938.51

2024-10-24   17:00:00   1     24.93		25.19		24.91		29.83		939.23		938.50		932.83		942.12
                        2     24.95		25.01		24.95		28.83		937.12		936.40		931.31		938.51

