Data          Hora     Temp_atual   Temp_med   Temp_min   Temp_max   Umi_atual   Umi_med   Umi_min   Umi_max
2024-10-11   13:44:14   26.80°C     26.82°C     26.80°C   26.85°C    68.00RH    68.02RH    67.97RH   68.10RH
2024-10-11   13:44:19   26.83°C     26.82°C     26.80°C   26.85°C    67.96RH    68.02RH    67.96RH   68.10RH
2024-10-11   13:44:24   26.81°C     26.82°C     26.80°C   26.85°C    68.01RH    68.02RH    67.96RH   68.10RH
2024-10-11   13:44:29   26.83°C     26.82°C     26.80°C   26.85°C    68.03RH    68.02RH    67.96RH   68.10RH
2024-10-11   13:44:34   26.83°C     26.82°C     26.80°C   26.85°C    68.03RH    68.02RH    67.96RH   68.10RH
2024-10-11   13:44:39   26.83°C     26.82°C     26.80°C   26.85°C    68.07RH    68.02RH    67.96RH   68.10RH
2024-10-11   13:44:44   26.81°C     26.82°C     26.80°C   26.85°C    68.06RH    68.02RH    67.96RH   68.10RH
2024-10-11   13:44:49   26.80°C     26.82°C     26.80°C   26.85°C    68.05RH    68.02RH    67.96RH   68.10RH
2024-10-11   13:44:54   26.83°C     26.82°C     26.80°C   26.85°C    67.98RH    68.02RH    67.96RH   68.10RH
2024-10-11   13:44:59   26.81°C     26.82°C     26.80°C   26.85°C    67.98RH    68.02RH    67.96RH   68.10RH
2024-10-11   13:45:04   26.83°C     26.82°C     26.80°C   26.85°C    67.94RH    68.02RH    67.94RH   68.10RH
2024-10-11   13:45:09   26.81°C     26.82°C     26.80°C   26.85°C    67.96RH    68.02RH    67.94RH   68.10RH
2024-10-11   13:45:14   26.81°C     26.82°C     26.80°C   26.85°C    67.93RH    68.02RH    67.93RH   68.10RH
2024-10-11   13:45:19   26.83°C     26.82°C     26.80°C   26.85°C    67.96RH    68.02RH    67.93RH   68.10RH
2024-10-11   13:45:24   26.81°C     26.82°C     26.80°C   26.85°C    67.93RH    68.02RH    67.93RH   68.10RH
2024-10-11   13:45:29   26.83°C     26.82°C     26.80°C   26.85°C    67.94RH    68.02RH    67.93RH   68.10RH
2024-10-11   13:45:34   26.81°C     26.82°C     26.80°C   26.85°C    67.95RH    68.01RH    67.93RH   68.10RH
2024-10-11   13:45:39   26.81°C     26.82°C     26.80°C   26.85°C    67.91RH    68.01RH    67.91RH   68.10RH
2024-10-11   13:45:45   26.81°C     26.82°C     26.80°C   26.85°C    67.99RH    68.01RH    67.91RH   68.10RH
2024-10-11   13:45:50   26.83°C     26.82°C     26.80°C   26.85°C    67.95RH    68.01RH    67.91RH   68.10RH
2024-10-11   13:45:55   26.81°C     26.82°C     26.80°C   26.85°C    67.93RH    68.01RH    67.91RH   68.10RH
2024-10-11   13:46:00   26.83°C     26.82°C     26.80°C   26.85°C    67.90RH    68.01RH    67.90RH   68.10RH
2024-10-11   13:46:05   26.80°C     26.82°C     26.80°C   26.85°C    67.93RH    68.01RH    67.90RH   68.10RH
2024-10-11   13:46:10   26.80°C     26.82°C     26.80°C   26.85°C    67.94RH    68.01RH    67.90RH   68.10RH
2024-10-11   13:46:15   26.84°C     26.82°C     26.80°C   26.85°C    67.96RH    68.01RH    67.90RH   68.10RH
2024-10-11   13:46:20   26.84°C     26.82°C     26.80°C   26.85°C    67.91RH    68.00RH    67.90RH   68.10RH
2024-10-11   13:46:25   26.83°C     26.82°C     26.80°C   26.85°C    67.92RH    68.00RH    67.90RH   68.10RH
2024-10-11   13:46:30   26.83°C     26.82°C     26.80°C   26.85°C    67.89RH    68.00RH    67.89RH   68.10RH
2024-10-11   13:46:35   26.84°C     26.82°C     26.80°C   26.85°C    67.90RH    68.00RH    67.89RH   68.10RH
2024-10-11   13:46:40   26.81°C     26.82°C     26.80°C   26.85°C    67.89RH    68.00RH    67.89RH   68.10RH
2024-10-11   13:46:45   26.83°C     26.82°C     26.80°C   26.85°C    67.86RH    68.00RH    67.86RH   68.10RH
2024-10-11   13:46:50   26.81°C     26.82°C     26.80°C   26.85°C    67.86RH    68.00RH    67.86RH   68.10RH
2024-10-11   13:46:55   26.83°C     26.82°C     26.80°C   26.85°C    67.85RH    67.99RH    67.85RH   68.10RH
