Data          Hora     Temp_atual   Temp_med   Temp_min   Temp_max   Umi_atual   Umi_med   Umi_min   Umi_max
2024-10-15   10:49:58   26.88°C     26.88°C     26.84°C   26.91°C    57.66RH    57.99RH    57.66RH   58.30RH
2024-10-15   10:50:04   26.91°C     26.88°C     26.84°C   26.91°C    57.62RH    57.99RH    57.62RH   58.30RH
2024-10-15   10:50:11   26.88°C     26.88°C     26.84°C   26.91°C    57.61RH    57.98RH    57.61RH   58.30RH
2024-10-15   10:50:17   26.88°C     26.88°C     26.84°C   26.91°C    57.58RH    57.97RH    57.58RH   58.30RH
2024-10-15   10:50:23   26.88°C     26.88°C     26.84°C   26.91°C    57.64RH    57.97RH    57.58RH   58.30RH
2024-10-15   10:50:29   26.88°C     26.88°C     26.84°C   26.91°C    57.71RH    57.96RH    57.58RH   58.30RH
2024-10-15   10:50:35   26.90°C     26.88°C     26.84°C   26.91°C    57.76RH    57.96RH    57.58RH   58.30RH
2024-10-15   10:50:41   26.88°C     26.88°C     26.84°C   26.91°C    57.78RH    57.96RH    57.58RH   58.30RH
2024-10-15   10:50:47   26.90°C     26.88°C     26.84°C   26.91°C    57.70RH    57.95RH    57.58RH   58.30RH
2024-10-15   10:50:53   26.90°C     26.88°C     26.84°C   26.91°C    57.64RH    57.95RH    57.58RH   58.30RH
2024-10-15   10:50:59   26.91°C     26.88°C     26.84°C   26.91°C    57.67RH    57.94RH    57.58RH   58.30RH
2024-10-15   10:51:05   26.90°C     26.88°C     26.84°C   26.91°C    57.69RH    57.94RH    57.58RH   58.30RH
2024-10-15   10:51:11   26.90°C     26.88°C     26.84°C   26.91°C    57.70RH    57.93RH    57.58RH   58.30RH
2024-10-15   10:51:17   26.88°C     26.88°C     26.84°C   26.91°C    57.70RH    57.93RH    57.58RH   58.30RH
2024-10-15   10:51:23   26.90°C     26.88°C     26.84°C   26.91°C    57.63RH    57.93RH    57.58RH   58.30RH
2024-10-15   10:51:29   26.91°C     26.88°C     26.84°C   26.91°C    57.63RH    57.92RH    57.58RH   58.30RH
2024-10-15   10:51:35   26.91°C     26.88°C     26.84°C   26.91°C    57.49RH    57.92RH    57.49RH   58.30RH
2024-10-15   10:51:41   26.90°C     26.88°C     26.84°C   26.91°C    57.52RH    57.91RH    57.49RH   58.30RH
2024-10-15   10:51:47   26.91°C     26.88°C     26.84°C   26.91°C    57.58RH    57.91RH    57.49RH   58.30RH
2024-10-15   10:51:53   26.90°C     26.88°C     26.84°C   26.91°C    57.58RH    57.90RH    57.49RH   58.30RH
2024-10-15   10:51:59   26.91°C     26.88°C     26.84°C   26.91°C    57.53RH    57.90RH    57.49RH   58.30RH
2024-10-15   10:52:05   26.90°C     26.88°C     26.84°C   26.91°C    57.51RH    57.89RH    57.49RH   58.30RH
2024-10-15   10:52:11   26.91°C     26.88°C     26.84°C   26.91°C    57.57RH    57.89RH    57.49RH   58.30RH
2024-10-15   10:52:17   26.91°C     26.88°C     26.84°C   26.91°C    57.62RH    57.88RH    57.49RH   58.30RH
2024-10-15   10:52:23   26.91°C     26.89°C     26.84°C   26.91°C    57.58RH    57.88RH    57.49RH   58.30RH
2024-10-15   10:52:30   26.90°C     26.89°C     26.84°C   26.91°C    57.58RH    57.87RH    57.49RH   58.30RH
2024-10-15   10:52:36   26.88°C     26.89°C     26.84°C   26.91°C    57.58RH    57.87RH    57.49RH   58.30RH
2024-10-15   10:52:42   26.91°C     26.89°C     26.84°C   26.91°C    57.56RH    57.87RH    57.49RH   58.30RH
2024-10-15   10:52:48   26.91°C     26.89°C     26.84°C   26.91°C    57.49RH    57.86RH    57.49RH   58.30RH
2024-10-15   10:52:54   26.91°C     26.89°C     26.84°C   26.91°C    57.52RH    57.86RH    57.49RH   58.30RH
2024-10-15   10:53:00   26.90°C     26.89°C     26.84°C   26.91°C    57.51RH    57.85RH    57.49RH   58.30RH
2024-10-15   10:53:06   26.91°C     26.89°C     26.84°C   26.91°C    57.52RH    57.85RH    57.49RH   58.30RH
2024-10-15   10:53:12   26.90°C     26.89°C     26.84°C   26.91°C    57.54RH    57.85RH    57.49RH   58.30RH
2024-10-15   10:53:18   26.90°C     26.89°C     26.84°C   26.91°C    57.51RH    57.84RH    57.49RH   58.30RH
2024-10-15   10:53:24   26.90°C     26.89°C     26.84°C   26.91°C    57.55RH    57.84RH    57.49RH   58.30RH
2024-10-15   10:53:30   26.90°C     26.89°C     26.84°C   26.91°C    57.54RH    57.83RH    57.49RH   58.30RH
2024-10-15   10:53:36   26.90°C     26.89°C     26.84°C   26.91°C    57.53RH    57.83RH    57.49RH   58.30RH
2024-10-15   10:53:42   26.93°C     26.89°C     26.84°C   26.93°C    57.58RH    57.83RH    57.49RH   58.30RH
2024-10-15   10:53:48   26.91°C     26.89°C     26.84°C   26.93°C    57.55RH    57.83RH    57.49RH   58.30RH
2024-10-15   10:53:54   26.91°C     26.89°C     26.84°C   26.93°C    57.56RH    57.82RH    57.49RH   58.30RH
2024-10-15   10:54:00   26.91°C     26.89°C     26.84°C   26.93°C    57.58RH    57.82RH    57.49RH   58.30RH
2024-10-15   10:54:06   26.90°C     26.89°C     26.84°C   26.93°C    57.59RH    57.82RH    57.49RH   58.30RH
2024-10-15   10:54:12   26.91°C     26.89°C     26.84°C   26.93°C    57.58RH    57.82RH    57.49RH   58.30RH
2024-10-15   10:54:18   26.91°C     26.89°C     26.84°C   26.93°C    57.63RH    57.81RH    57.49RH   58.30RH
2024-10-15   10:54:24   26.91°C     26.89°C     26.84°C   26.93°C    57.58RH    57.81RH    57.49RH   58.30RH
2024-10-15   10:54:30   26.93°C     26.89°C     26.84°C   26.93°C    57.60RH    57.81RH    57.49RH   58.30RH
2024-10-15   10:54:36   26.93°C     26.89°C     26.84°C   26.93°C    57.61RH    57.81RH    57.49RH   58.30RH
2024-10-15   10:54:42   26.91°C     26.89°C     26.84°C   26.93°C    57.66RH    57.81RH    57.49RH   58.30RH
2024-10-15   10:54:49   26.90°C     26.89°C     26.84°C   26.93°C    57.62RH    57.80RH    57.49RH   58.30RH
2024-10-15   10:54:55   26.91°C     26.89°C     26.84°C   26.93°C    57.60RH    57.80RH    57.49RH   58.30RH
2024-10-15   10:55:01   26.91°C     26.89°C     26.84°C   26.93°C    57.62RH    57.80RH    57.49RH   58.30RH
2024-10-15   10:55:07   26.91°C     26.89°C     26.84°C   26.93°C    57.60RH    57.80RH    57.49RH   58.30RH
2024-10-15   10:55:13   26.91°C     26.89°C     26.84°C   26.93°C    57.60RH    57.80RH    57.49RH   58.30RH
2024-10-15   10:55:19   26.93°C     26.89°C     26.84°C   26.93°C    57.57RH    57.79RH    57.49RH   58.30RH
2024-10-15   10:55:25   26.94°C     26.89°C     26.84°C   26.94°C    57.55RH    57.79RH    57.49RH   58.30RH
2024-10-15   10:55:31   26.93°C     26.89°C     26.84°C   26.94°C    57.49RH    57.79RH    57.49RH   58.30RH
2024-10-15   10:55:37   26.93°C     26.89°C     26.84°C   26.94°C    57.50RH    57.79RH    57.49RH   58.30RH
2024-10-15   10:55:43   26.93°C     26.89°C     26.84°C   26.94°C    57.46RH    57.78RH    57.46RH   58.30RH
2024-10-15   10:55:49   26.91°C     26.89°C     26.84°C   26.94°C    57.51RH    57.78RH    57.46RH   58.30RH
2024-10-15   10:55:55   26.93°C     26.89°C     26.84°C   26.94°C    57.51RH    57.78RH    57.46RH   58.30RH
2024-10-15   10:56:01   26.91°C     26.89°C     26.84°C   26.94°C    57.50RH    57.78RH    57.46RH   58.30RH
2024-10-15   10:56:07   26.94°C     26.89°C     26.84°C   26.94°C    57.50RH    57.77RH    57.46RH   58.30RH
2024-10-15   10:56:13   26.93°C     26.89°C     26.84°C   26.94°C    57.51RH    57.77RH    57.46RH   58.30RH
2024-10-15   10:56:19   26.90°C     26.89°C     26.84°C   26.94°C    57.47RH    57.77RH    57.46RH   58.30RH
2024-10-15   10:56:25   26.91°C     26.89°C     26.84°C   26.94°C    57.41RH    57.76RH    57.41RH   58.30RH
2024-10-15   10:56:31   26.90°C     26.89°C     26.84°C   26.94°C    57.40RH    57.76RH    57.40RH   58.30RH
2024-10-15   10:56:37   26.91°C     26.89°C     26.84°C   26.94°C    57.49RH    57.76RH    57.40RH   58.30RH
2024-10-15   10:56:43   26.90°C     26.89°C     26.84°C   26.94°C    57.47RH    57.76RH    57.40RH   58.30RH
2024-10-15   10:56:49   26.90°C     26.89°C     26.84°C   26.94°C    57.51RH    57.75RH    57.40RH   58.30RH
2024-10-15   10:56:55   26.88°C     26.89°C     26.84°C   26.94°C    57.53RH    57.75RH    57.40RH   58.30RH
2024-10-15   10:57:02   26.88°C     26.89°C     26.84°C   26.94°C    57.53RH    57.75RH    57.40RH   58.30RH
2024-10-15   10:57:08   26.88°C     26.89°C     26.84°C   26.94°C    57.54RH    57.75RH    57.40RH   58.30RH
2024-10-15   10:57:14   26.90°C     26.89°C     26.84°C   26.94°C    57.57RH    57.75RH    57.40RH   58.30RH
2024-10-15   10:57:20   26.90°C     26.89°C     26.84°C   26.94°C    57.53RH    57.75RH    57.40RH   58.30RH
2024-10-15   10:57:26   26.88°C     26.89°C     26.84°C   26.94°C    57.57RH    57.74RH    57.40RH   58.30RH
2024-10-15   10:57:32   26.90°C     26.89°C     26.84°C   26.94°C    57.55RH    57.74RH    57.40RH   58.30RH
2024-10-15   10:57:38   26.90°C     26.89°C     26.84°C   26.94°C    57.54RH    57.74RH    57.40RH   58.30RH
2024-10-15   10:57:44   26.90°C     26.89°C     26.84°C   26.94°C    57.55RH    57.74RH    57.40RH   58.30RH
2024-10-15   10:57:50   26.90°C     26.89°C     26.84°C   26.94°C    57.55RH    57.74RH    57.40RH   58.30RH
2024-10-15   10:57:56   26.93°C     26.89°C     26.84°C   26.94°C    57.59RH    57.74RH    57.40RH   58.30RH
2024-10-15   10:58:02   26.91°C     26.89°C     26.84°C   26.94°C    57.66RH    57.74RH    57.40RH   58.30RH
2024-10-15   10:58:08   26.91°C     26.89°C     26.84°C   26.94°C    57.71RH    57.74RH    57.40RH   58.30RH
2024-10-15   10:58:14   26.90°C     26.89°C     26.84°C   26.94°C    57.69RH    57.74RH    57.40RH   58.30RH
2024-10-15   10:58:20   26.90°C     26.89°C     26.84°C   26.94°C    57.59RH    57.74RH    57.40RH   58.30RH
