Data          Hora     Bar    Temp_atual   Temp_med   Temp_min   Temp_max   Press_atual   Press_med    Press_min   Press_max
2024-10-20   09:05:17   1     24.48°C      24.39°C    24.14°C    25.52°C     942.86mbar   942.52mbar  938.43mbar  944.57mbar
2024-10-20   10:11:32   1     24.48°C      24.50°C    24.14°C    25.52°C     942.86mbar   942.77mbar  938.43mbar  944.62mbar
2024-10-20   11:17:46   1     24.51°C      24.54°C    24.14°C    25.52°C     942.35mbar   942.77mbar  938.43mbar  945.11mbar
2024-10-20   12:24:00   1     24.63°C      24.66°C    24.14°C    25.52°C     942.18mbar   942.47mbar  938.43mbar  945.11mbar
2024-10-20   13:30:15   1     24.70°C      24.62°C    24.14°C    25.52°C     942.11mbar   941.75mbar  938.43mbar  945.11mbar
2024-10-20   14:36:29   1     24.77°C      24.72°C    24.14°C    25.52°C     941.08mbar   941.09mbar  938.43mbar  945.11mbar
2024-10-20   15:42:43   1     24.84°C      24.78°C    24.14°C    25.52°C     940.82mbar   940.90mbar  938.43mbar  945.11mbar
2024-10-20   16:48:58   1     24.72°C      24.77°C    24.14°C    25.52°C     941.18mbar   940.89mbar  938.43mbar  945.11mbar
2024-10-20   17:55:12   1     24.69°C      24.72°C    24.14°C    25.52°C     941.69mbar   941.41mbar  938.43mbar  945.11mbar
2024-10-20   19:01:27   1     24.58°C      24.64°C    24.14°C    25.52°C     942.76mbar   942.20mbar  938.43mbar  945.11mbar
2024-10-20   20:07:41   1     24.87°C      24.56°C    24.14°C    25.52°C     944.35mbar   942.78mbar  938.43mbar  945.11mbar
2024-10-20   21:13:55   1     24.39°C      24.48°C    24.14°C    25.52°C     943.10mbar   943.44mbar  938.43mbar  945.62mbar
2024-10-20   22:20:09   1     24.34°C      24.40°C    24.10°C    25.52°C     944.35mbar   943.90mbar  938.43mbar  946.60mbar
2024-10-20   23:26:24   1     24.34°C      24.30°C    24.10°C    25.52°C     942.81mbar   943.66mbar  938.43mbar  946.60mbar
2024-10-21   01:21:36   1     24.21°C      24.20°C    23.97°C    24.75°C     942.85mbar   943.54mbar  942.40mbar  946.13mbar
2024-10-21   02:27:50   1     24.12°C      24.14°C    23.91°C    24.77°C     942.89mbar   943.36mbar  942.16mbar  946.13mbar
2024-10-21   03:34:05   1     24.03°C      24.08°C    23.81°C    24.77°C     942.64mbar   943.12mbar  942.06mbar  946.13mbar
2024-10-21   04:40:19   1     24.03°C      24.03°C    23.74°C    24.77°C     943.99mbar   943.23mbar  942.03mbar  946.13mbar
2024-10-21   05:46:33   1     23.97°C      23.97°C    23.74°C    24.77°C     945.21mbar   943.67mbar  942.03mbar  946.13mbar
2024-10-21   06:52:48   1     24.00°C      23.93°C    23.67°C    24.77°C     944.69mbar   944.40mbar  942.03mbar  946.37mbar
2024-10-24   18:00:00   1     24.57		24.59		24.29		25.32		939.45		939.55		938.40		942.13
