Data          Hora     Bar    Temp_atual   Temp_med   Temp_min   Temp_max   Press_atual   Press_med    Press_min   Press_max
2024-10-18   17:33:19   1     27.66°C      27.20°C    26.53°C    27.95°C     939.31mbar   938.68mbar  937.69mbar  940.99mbar
2024-10-18   18:39:34   1     27.32°C      27.45°C    26.53°C    28.02°C     940.45mbar   939.68mbar  937.69mbar  942.45mbar
2024-10-18   19:45:48   1     27.34°C      27.35°C    26.53°C    28.02°C     942.90mbar   940.89mbar  937.69mbar  943.90mbar
2024-10-18   20:52:03   1     27.08°C      27.20°C    26.53°C    28.02°C     942.73mbar   942.47mbar  937.69mbar  945.03mbar
2024-10-18   21:58:17   1     27.08°C      27.09°C    26.53°C    28.02°C     942.92mbar   942.73mbar  937.69mbar  945.34mbar
2024-10-18   23:04:32   1     26.89°C      26.94°C    26.53°C    28.02°C     942.78mbar   942.87mbar  937.69mbar  945.34mbar
2024-10-19   00:10:46   1     26.83°C      26.87°C    26.53°C    28.02°C     942.36mbar   942.55mbar  937.69mbar  945.34mbar
2024-10-19   01:21:37   1     26.76°C      26.77°C    26.50°C    27.34°C     941.37mbar   941.74mbar  940.60mbar  944.73mbar
2024-10-19   02:27:51   1     26.48°C      26.67°C    26.36°C    27.34°C     940.20mbar   941.03mbar  939.85mbar  944.73mbar
2024-10-19   03:34:06   1     26.71°C      26.56°C    26.24°C    27.34°C     940.70mbar   940.54mbar  939.13mbar  944.73mbar
2024-10-19   04:40:20   1     26.38°C      26.46°C    26.23°C    27.34°C     940.40mbar   940.61mbar  939.13mbar  944.73mbar
2024-10-19   05:46:34   1     26.50°C      26.30°C    25.99°C    27.34°C     940.81mbar   940.67mbar  939.13mbar  944.73mbar
2024-10-19   06:52:48   1     26.14°C      26.17°C    25.99°C    27.34°C     940.94mbar   940.97mbar  939.13mbar  944.73mbar
2024-10-19   07:59:02   1     26.16°C      26.21°C    25.99°C    27.34°C     941.45mbar   941.51mbar  939.13mbar  944.73mbar
2024-10-19   09:05:17   1     26.31°C      26.31°C    25.99°C    27.34°C     941.83mbar   942.15mbar  939.13mbar  945.11mbar
2024-10-19   10:11:31   1     26.59°C      26.40°C    25.99°C    27.34°C     942.90mbar   942.20mbar  939.13mbar  945.11mbar
2024-10-19   11:17:45   1     26.40°C      26.43°C    25.99°C    27.34°C     942.08mbar   942.15mbar  939.13mbar  945.11mbar
2024-10-19   12:24:00   1     26.47°C      26.41°C    25.99°C    27.34°C     941.62mbar   941.88mbar  939.13mbar  945.11mbar
2024-10-19   13:30:14   1     26.45°C      26.46°C    25.99°C    27.34°C     940.81mbar   941.06mbar  939.13mbar  945.11mbar
2024-10-19   14:36:28   1     26.41°C      26.38°C    25.99°C    27.34°C     940.27mbar   940.37mbar  938.99mbar  945.11mbar
2024-10-19   15:42:43   1     26.40°C      26.46°C    25.99°C    27.34°C     939.66mbar   939.95mbar  938.85mbar  945.11mbar
2024-10-19   16:48:57   1     26.35°C      26.36°C    25.99°C    27.34°C     939.37mbar   939.56mbar  938.43mbar  945.11mbar
2024-10-19   17:55:11   1     26.02°C      26.21°C    25.87°C    27.34°C     940.43mbar   940.28mbar  938.43mbar  945.11mbar
2024-10-19   19:01:26   1     25.83°C      25.91°C    25.70°C    27.34°C     941.54mbar   941.11mbar  938.43mbar  945.11mbar
2024-10-19   20:07:40   1     25.76°C      25.74°C    25.44°C    27.34°C     941.61mbar   941.51mbar  938.43mbar  945.11mbar
2024-10-19   21:13:54   1     25.49°C      25.58°C    25.34°C    27.34°C     941.89mbar   941.82mbar  938.43mbar  945.11mbar
2024-10-19   22:20:09   1     25.27°C      25.34°C    25.08°C    27.34°C     942.36mbar   941.99mbar  938.43mbar  945.11mbar
2024-10-19   23:26:23   1     25.13°C      25.14°C    24.67°C    27.34°C     941.82mbar   941.56mbar  938.43mbar  945.11mbar
2024-10-20   01:21:37   1     24.75°C      24.87°C    24.53°C    25.52°C     939.99mbar   940.46mbar  939.11mbar  943.17mbar
2024-10-20   02:27:52   1     24.74°C      24.73°C    24.53°C    25.52°C     940.53mbar   940.16mbar  938.81mbar  943.17mbar
2024-10-20   03:34:06   1     24.51°C      24.65°C    24.41°C    25.52°C     939.84mbar   939.74mbar  938.69mbar  943.17mbar
2024-10-20   04:40:20   1     24.50°C      24.53°C    24.27°C    25.52°C     939.43mbar   939.53mbar  938.43mbar  943.17mbar
2024-10-20   05:46:35   1     24.38°C      24.42°C    24.19°C    25.52°C     939.50mbar   939.85mbar  938.43mbar  943.17mbar
2024-10-20   06:52:49   1     24.31°C      24.34°C    24.17°C    25.52°C     941.11mbar   940.60mbar  938.43mbar  943.17mbar
2024-10-20   07:59:03   1     24.29°C      24.35°C    24.14°C    25.52°C     941.85mbar   941.71mbar  938.43mbar  944.15mbar
